지점명,일시,강수량(mm),1시간최다강수량(mm),1시간최다강수량시각
수원,2019-01-01,,,
수원,2019-01-02,,,
수원,2019-01-03,,,
수원,2019-01-04,,,
수원,2019-01-05,,,
수원,2019-01-06,,,
수원,2019-01-07,,,
수원,2019-01-08,,,
수원,2019-01-09,,,
수원,2019-01-10,,,
수원,2019-01-11,,,
수원,2019-01-12,,,
수원,2019-01-13,,,
수원,2019-01-14,,,
수원,2019-01-15,0,,
수원,2019-01-16,0,,
수원,2019-01-17,0.1,,
수원,2019-01-18,,,
수원,2019-01-19,,,
수원,2019-01-20,,,
수원,2019-01-21,0,,
수원,2019-01-22,,,
수원,2019-01-23,,,
수원,2019-01-24,,,
수원,2019-01-25,,,
수원,2019-01-26,,,
수원,2019-01-27,,,
수원,2019-01-28,0.4,,
수원,2019-01-29,,,
수원,2019-01-30,,,
수원,2019-01-31,,,
수원,2019-02-01,0,,
수원,2019-02-02,0,,
수원,2019-02-03,22.7,,
수원,2019-02-04,,,
수원,2019-02-05,,,
수원,2019-02-06,,,
수원,2019-02-07,0,,
수원,2019-02-08,,,
수원,2019-02-09,,,
수원,2019-02-10,,,
수원,2019-02-11,,,
수원,2019-02-12,0,,
수원,2019-02-13,,,
수원,2019-02-14,,,
수원,2019-02-15,2.6,,
수원,2019-02-16,0.1,,
수원,2019-02-17,,,
수원,2019-02-18,,,
수원,2019-02-19,8,,
수원,2019-02-20,0,,
수원,2019-02-21,,,
수원,2019-02-22,,,
수원,2019-02-23,,,
수원,2019-02-24,,,
수원,2019-02-25,,,
수원,2019-02-26,,,
수원,2019-02-27,,,
수원,2019-02-28,,,
수원,2019-03-01,,,
수원,2019-03-02,,,
수원,2019-03-03,,,
수원,2019-03-04,,,
수원,2019-03-05,,,
수원,2019-03-06,,,
수원,2019-03-07,,,
수원,2019-03-08,,,
수원,2019-03-09,,,
수원,2019-03-10,,,
수원,2019-03-11,2.7,,
수원,2019-03-12,,,
수원,2019-03-13,,,
수원,2019-03-14,,,
수원,2019-03-15,2,,
수원,2019-03-16,,,
수원,2019-03-17,,,
수원,2019-03-18,,,
수원,2019-03-19,,,
수원,2019-03-20,23.6,,
수원,2019-03-21,4.6,,
수원,2019-03-22,,,
수원,2019-03-23,1.5,,
수원,2019-03-24,,,
수원,2019-03-25,,,
수원,2019-03-26,,,
수원,2019-03-27,,,
수원,2019-03-28,,,
수원,2019-03-29,,,
수원,2019-03-30,4.7,,
수원,2019-03-31,0.5,,
수원,2019-04-01,,,
수원,2019-04-02,,,
수원,2019-04-03,,,
수원,2019-04-04,,,
수원,2019-04-05,,,
수원,2019-04-06,0,0,
수원,2019-04-07,,,
수원,2019-04-08,,,
수원,2019-04-09,18.1,5,19:27
수원,2019-04-10,2.8,1.4,#VALUE!
수원,2019-04-11,0,0,
수원,2019-04-12,,,
수원,2019-04-13,,,
수원,2019-04-14,0.6,0.6,9:53
수원,2019-04-15,,,
수원,2019-04-16,,,
수원,2019-04-17,,,
수원,2019-04-18,0,0,
수원,2019-04-19,,,
수원,2019-04-20,0.1,0.1,
수원,2019-04-21,0.8,0.3,2:54
수원,2019-04-22,,,
수원,2019-04-23,0,0,
수원,2019-04-24,12.9,4,1:37
수원,2019-04-25,5.8,1.7,16:57
수원,2019-04-26,1.9,1.3,15:19
수원,2019-04-27,,,
수원,2019-04-28,0,0,
수원,2019-04-29,0.6,0.3,14:36
수원,2019-04-30,,,
수원,2019-05-01,,,
수원,2019-05-02,,,
수원,2019-05-03,,,
수원,2019-05-04,,,
수원,2019-05-05,,,
수원,2019-05-06,0,0,
수원,2019-05-07,,,
수원,2019-05-08,,,
수원,2019-05-09,,,
수원,2019-05-10,,,
수원,2019-05-11,,,
수원,2019-05-12,,,
수원,2019-05-13,0,0,
수원,2019-05-14,,,
수원,2019-05-15,,,
수원,2019-05-16,,,
수원,2019-05-17,,,
