지점명,일시,평균기온(℃),최고기온(℃),최고기온시각,최저기온(℃),최저기온시각일교차
수원,2019-01-01,-4.4,0.2,12:08,-9,7:03
수원,2019-01-02,-5.3,1.5,14:23,-10.7,5:59
수원,2019-01-03,-3.7,4.2,15:08,-10.1,7:38
수원,2019-01-04,-2.3,4.2,15:18,-8.7,7:12
수원,2019-01-05,-2.4,2.8,13:54,-6.4,23:56
수원,2019-01-06,-3.5,3.1,14:35,-7.8,4:22
수원,2019-01-07,-2.6,4.7,13:55,-8.5,7:39
수원,2019-01-08,-2.8,2.4,13:07,-7.3,7:38
수원,2019-01-09,-4.6,1.4,14:33,-10.6,7:20
수원,2019-01-10,-1.2,2,15:31,-4,6:32
수원,2019-01-11,2.2,7.3,14:08,-1.1,0:01
수원,2019-01-12,2.4,9.1,14:35,-2.8,23:54
수원,2019-01-13,0.2,8.1,14:36,-5.6,6:30
수원,2019-01-14,0,4.7,15:15,-4.5,6:33
수원,2019-01-15,-1.1,3.9,14:16,-6.7,23:36
수원,2019-01-16,-4.5,-0.4,15:36,-9.4,7:00
수원,2019-01-17,-0.4,5.7,13:55,-4.5,23:50
수원,2019-01-18,-0.4,7.4,14:29,-7.6,7:43
수원,2019-01-19,2.4,9.2,15:04,-2.4,4:21
수원,2019-01-20,-0.4,4,0:27,-5.1,23:52
수원,2019-01-21,-1.3,6.4,14:18,-8.1,4:22
수원,2019-01-22,0.4,7.8,13:56,-4.9,6:08
수원,2019-01-23,1.5,9.1,13:42,-4.2,5:16
수원,2019-01-24,-0.8,7.4,14:29,-6.4,7:27
수원,2019-01-25,-1.2,4.4,12:23,-6.3,7:50
수원,2019-01-26,-2.6,3.6,14:26,-6.1,7:52
수원,2019-01-27,-0.9,5.4,13:25,-8.8,6:54
수원,2019-01-28,1.7,5,14:02,-3.1,23:49
수원,2019-01-29,-0.7,7.4,15:22,-6.7,6:28
수원,2019-01-30,2,8.9,14:24,-4.1,6:44
수원,2019-01-31,-1.1,2.4,0:01,-5.5,23:48
수원,2019-02-01,-2.2,4.8,13:20,-8.6,6:02
수원,2019-02-02,1.5,7,15:46,-5.4,5:22
수원,2019-02-03,3.7,6.1,15:12,1.2,24:00:00
수원,2019-02-04,-0.3,4.6,13:39,-3.5,23:55
수원,2019-02-05,1.3,10.1,14:46,-5.4,5:03
수원,2019-02-06,4.8,11.6,14:57,-2.2,2:14
수원,2019-02-07,-0.9,6.1,0:01,-7.3,23:45
수원,2019-02-08,-5.1,0.4,13:56,-9.5,7:42
수원,2019-02-09,-4.2,-0.5,13:39,-7.5,7:25
수원,2019-02-10,-4.3,-0.4,15:10,-8.8,6:27
수원,2019-02-11,-2.5,3.1,15:13,-7.5,7:24
수원,2019-02-12,-0.1,5.3,13:34,-5.7,1:37
수원,2019-02-13,-1.4,3.8,14:24,-4.9,6:57
수원,2019-02-14,-0.2,6.7,15:04,-5.7,5:17
수원,2019-02-15,-0.6,1,15:08,-2.2,23:59
수원,2019-02-16,-1.7,2.2,14:45,-4.2,22:13
수원,2019-02-17,-1.9,4.9,13:11,-8.3,6:28
수원,2019-02-18,0.3,6.1,13:27,-6.2,5:42
수원,2019-02-19,1.1,4.1,14:50,-1.1,23:10
수원,2019-02-20,1.5,5.4,14:13,-1.9,24:00:00
수원,2019-02-21,0.9,8.9,15:31,-4.3,6:04
수원,2019-02-22,2.3,11.3,14:14,-3.5,6:35
수원,2019-02-23,4.9,14.8,15:24,-2,5:42
수원,2019-02-24,5,13.6,13:23,-2,7:04
수원,2019-02-25,3.8,11,13:54,-1.1,24:00:00
수원,2019-02-26,4.2,11.9,14:17,-3.5,5:46
수원,2019-02-27,6.7,12.8,12:48,2.4,6:40
수원,2019-02-28,5,14,13:45,-1.4,6:25
수원,2019-03-01,4.8,13.9,13:46,-1.5,4:18
수원,2019-03-02,6.1,14.6,14:03,-1.9,6:05
수원,2019-03-03,8.1,16.6,14:11,-1.2,6:50
수원,2019-03-04,7.7,15.9,14:00,3,7:26
수원,2019-03-05,7.3,13.8,14:50,1.8,5:18
