,PowerGeneration,Timeofsunshine(hr),Percentageofsunshine(%),Amountofsunshine(MJ_m2),AverageTemperature(℃),MaximumTemperature(℃),MinimumTemperature(℃),AverageHumid(%rh),MinmumHumid(%rh),Precipitation(mm)
PowerGeneration,1.0,0.596184183805707,0.30114837593046784,0.6481084280231192,0.014522131447192627,0.053370583970734777,-0.026203713456372867,-0.13176092458552974,-0.25619327645862744,-0.12474211150230403
Timeofsunshine(hr),0.596184183805707,1.0,0.8559914779845174,0.4380021699812259,-0.38038990900330444,-0.34192675002073103,-0.4113187550572585,-0.6125927521855772,-0.7581740755025252,-0.49444983177700486
Percentageofsunshine(%),0.30114837593046784,0.8559914779845174,1.0,-0.08130831967186665,-0.7305573663749362,-0.7058139632790958,-0.7494640449331059,-0.7362257243147805,-0.8348775992190896,-0.5661896659091228
Amountofsunshine(MJ_m2),0.6481084280231192,0.4380021699812259,-0.08130831967186665,1.0,0.5080062996124491,0.5417392301656082,0.4778839683646664,0.07108504386226348,-0.030729600262621944,0.01813232657318857
AverageTemperature(℃),0.014522131447192627,-0.38038990900330444,-0.7305573663749362,0.5080062996124491,1.0,0.9966437883998335,0.9976156565447716,0.6936701083831674,0.7155456741818087,0.35636840277967147
MaximumTemperature(℃),0.053370583970734777,-0.34192675002073103,-0.7058139632790958,0.5417392301656082,0.9966437883998335,1.0,0.9909758694167612,0.6684537763588596,0.6778900876549614,0.33299407540867937
MinimumTemperature(℃),-0.026203713456372867,-0.4113187550572585,-0.7494640449331059,0.4778839683646664,0.9976156565447716,0.9909758694167612,1.0,0.7063075363667779,0.7370954546884153,0.3719704809482572
AverageHumid(%rh),-0.13176092458552974,-0.6125927521855772,-0.7362257243147805,0.07108504386226348,0.6936701083831674,0.6684537763588596,0.7063075363667779,1.0,0.9098944739402987,0.3838685198758181
MinmumHumid(%rh),-0.25619327645862744,-0.7581740755025252,-0.8348775992190896,-0.030729600262621944,0.7155456741818087,0.6778900876549614,0.7370954546884153,0.9098944739402987,1.0,0.5211709196603365
Precipitation(mm),-0.12474211150230403,-0.49444983177700486,-0.5661896659091228,0.01813232657318857,0.35636840277967147,0.33299407540867937,0.3719704809482572,0.3838685198758181,0.5211709196603365,1.0
