,PowerGeneration,Timeofsunshine(hr),Percentageofsunshine(%),Amountofsunshine(MJ_m2),AverageTemperature(℃),MaximumTemperature(℃),MinimumTemperature(℃),AverageHumid(%rh),MinmumHumid(%rh),Precipitation(mm)
PowerGeneration,1.0,0.5245931134481515,0.6257631610449543,-0.8896897589298105,-0.568495049093762,-0.5443146761694445,-0.6050221921340552,-0.541112398356455,-0.14446876701272146,
Timeofsunshine(hr),0.5245931134481515,1.0,0.9923376158012025,-0.855423636735037,-0.9986254289035239,-0.9997277550984194,-0.9952451252886352,-0.9998094474915963,-0.9182091615221026,
Percentageofsunshine(%),0.6257631610449543,0.9923376158012025,1.0,-0.9128622215471475,-0.9974496651373348,-0.9949503514090159,-0.999653759181544,-0.9945604554503851,-0.862233515508966,
Amountofsunshine(MJ_m2),-0.8896897589298105,-0.855423636735037,-0.9128622215471475,1.0,0.8813946495939782,0.8672754417646422,0.9018034965573505,0.8653711149892599,0.5803083021329833,
AverageTemperature(℃),-0.568495049093762,-0.9986254289035239,-0.9974496651373348,0.8813946495939782,1.0,0.9995765248971233,0.9989823396632909,0.9994583157519662,0.8961859531953663,
MaximumTemperature(℃),-0.5443146761694445,-0.9997277550984194,-0.9949503514090159,0.8672754417646422,0.9995765248971233,1.0,0.9972468271057672,0.9999927319979597,0.9087171909665757,
MinimumTemperature(℃),-0.6050221921340552,-0.9952451252886352,-0.999653759181544,0.9018034965573505,0.9989823396632909,0.9972468271057672,1.0,0.9969568605398698,0.8752626807119014,
AverageHumid(%rh),-0.541112398356455,-0.9998094474915963,-0.9945604554503851,0.8653711149892599,0.9994583157519662,0.9999927319979597,0.9969568605398698,1.0,0.9103020144985897,
MinmumHumid(%rh),-0.14446876701272146,-0.9182091615221026,-0.862233515508966,0.5803083021329833,0.8961859531953663,0.9087171909665757,0.8752626807119014,0.9103020144985897,1.0,
Precipitation(mm),,,,,,,,,,
