,year,month,PowerGeneration,Timeofsunshine(hr),Percentageofsunshine(%),Amountofsunshine(MJ_m2),AverageTemperature(℃),MaximumTemperature(℃),MinimumTemperature(℃),AverageHumid(%rh),MinmumHumid(%rh),Precipitation(mm)
0,2019,9,464.7,4.9,38.85,13.29,22.75,27.4,18.4,80.44999999999999,55.5,0.0
1,2019,10,512.4,8.3,74.1,13.46,16.0,21.7,10.7,78.1,52.0,0.0
2,2019,11,446.79999999999995,7.800000000000001,75.75,9.955,7.85,14.0,2.7,75.45,46.5,0.0
3,2019,12,408.4,6.7,69.8,8.68,1.3,6.1,-3.2,76.5,51.0,0.0
4,2020,1,436.6,7.4,72.7,9.66,1.3,5.6,-2.8,74.3,50.0,0.0
5,2020,2,538.0,7.8,73.1,12.78,3.2,7.7,-2.2,82.0,52.0,0.0
6,2020,3,665.0,9.8,77.8,18.54,7.4,13.5,1.0,69.6,42.0,0.0
7,2020,4,786.5,11.1,84.1,23.295,10.100000000000001,15.85,4.95,68.85,38.5,0.0
8,2020,5,584.4,7.1,51.4,19.2,17.8,23.7,12.9,81.6,53.0,0.1
9,2020,6,612.0,8.05,54.75,21.28,23.1,28.549999999999997,18.7,75.95,50.0,0.0
10,2020,7,414.0,4.7,32.9,14.87,24.0,28.2,20.5,80.5,64.0,0.5
11,2020,8,276.0,1.7,12.2,9.52,26.9,30.4,24.0,90.8,75.0,0.2
12,2020,9,530.0,7.0,57.6,15.045000000000002,20.9,25.85,17.6,77.3,54.5,0.0
13,2020,10,563.4,8.5,78.7,13.83,13.6,19.5,7.5,71.0,44.0,0.0
14,2020,11,463.0,7.55,73.7,10.600000000000001,7.300000000000001,13.0,1.3,70.45,41.5,0.0
15,2020,12,398.6,7.7,80.2,8.47,1.0,5.2,-4.2,63.8,42.0,0.0
16,2021,1,320.0,7.5,73.7,10.3,-3.6,0.7,-8.6,67.9,40.0,0.0
17,2021,2,556.9000000000001,8.95,81.8,13.29,2.75,8.95,-2.35,66.15,37.0,0.0
18,2021,3,618.8,8.1,66.7,16.33,8.1,14.2,2.2,71.3,38.0,0.0
19,2021,4,697.0,10.5,80.65,20.490000000000002,12.850000000000001,18.8,7.6,62.2,32.0,0.0
20,2021,5,600.0,8.4,58.3,18.79,16.2,21.3,11.8,76.4,46.0,0.1
21,2021,6,567.1,7.9,53.75,20.200000000000003,22.75,28.45,18.65,78.05,53.5,0.0
22,2021,7,459.6,8.7,61.3,20.67,28.4,32.9,23.8,78.6,53.0,0.0
23,2021,8,294.8,5.0,37.0,14.18,25.9,30.4,22.6,79.1,60.0,0.0
24,2021,9,357.0,7.75,61.75,16.29,22.9,27.25,19.0,74.19999999999999,51.0,0.0
25,2021,10,187.2,8.6,75.2,14.02,14.2,19.7,10.4,74.4,41.0,0.0
26,2021,11,411.6,7.05,69.1,9.545,7.699999999999999,14.05,3.3,74.05,45.5,0.0
27,2021,12,370.4,7.2,73.5,8.64,1.5,6.3,-3.4,67.3,36.0,0.0
28,2022,1,479.0,8.9,88.3,10.77,-2.4,3.5,-7.9,56.6,34.0,0.0
29,2022,2,378.0,8.95,83.65,13.19,-2.0,3.6,-7.05,56.65,30.5,0.0
30,2022,3,372.8,6.0,49.2,15.56,7.0,13.7,1.4,65.8,39.0,0.0
